hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
249,3441.039999999998,1652.5,739.0,24.0,371.0,61.0
250,3450.039999999998,2000.5,737.0,72.0,385.0,87.0
251,3462.239999999998,1988.5,737.0,104.0,559.0,189.0
252,3467.039999999998,2055.5,738.0,80.0,555.0,96.0
253,3486.139999999998,2246.5,738.0,72.0,560.0,96.0
254,3549.9399999999982,2256.5,814.0,96.0,559.0,139.0
255,3518.9399999999982,2387.5,737.0,184.0,561.0,127.0
256,3492.8399999999983,2369.5,740.0,168.0,565.0,169.0
257,3501.8399999999983,2444.5,739.0,64.0,558.0,132.0
258,3507.4399999999982,2386.5,739.0,72.0,534.0,170.0
259,3518.639999999998,2553.5,741.0,3072.0,601.0,196.0
260,3505.739999999998,2498.5,740.0,1688.0,587.0,185.0
261,3516.239999999998,2419.5,740.0,1608.0,579.0,99.0
262,3510.439999999998,2434.5,740.0,1592.0,510.0,101.0
263,3519.339999999998,2514.5,741.0,1584.0,829.0,153.0
264,3458.639999999998,2054.5,728.0,104.0,933.0,80.0
265,3467.739999999998,1918.5,731.0,1848.0,485.0,112.0
266,3454.739999999998,1753.5,727.0,1112.0,348.0,128.0
267,3449.139999999998,1737.5,728.0,1032.0,347.0,72.0
268,3459.4399999999982,1734.5,729.0,560.0,345.0,72.0
269,3474.039999999998,1723.5,729.0,464.0,345.0,64.0
270,3522.039999999998,1727.5,730.0,464.0,345.0,64.0
271,3501.239999999998,1765.5,730.0,464.0,345.0,72.0
272,3507.139999999998,1808.5,731.0,464.0,345.0,80.0
273,3510.139999999998,1858.5,732.0,912.0,366.0,104.0
274,3511.139999999998,2133.5,728.0,1712.0,664.0,152.0
275,3541.039999999998,2285.5,748.0,3312.0,334.0,137.0
276,3536.239999999998,2160.5,733.0,1952.0,395.0,111.0
277,3545.139999999998,2148.5,733.0,2208.0,326.0,199.0
278,3572.239999999998,2237.5,733.0,1688.0,348.0,94.0
279,3550.339999999998,2386.5,735.0,1520.0,341.0,129.0
280,3551.939999999998,2420.5,741.0,2056.0,542.0,166.0
281,3542.439999999998,2432.5,804.0,2776.0,561.0,185.0
282,3554.6399999999976,2380.5,800.0,1920.0,570.0,112.0
283,3543.5399999999977,2406.5,744.0,1528.0,517.0,137.0
284,3541.7399999999975,2397.5,742.0,2384.0,532.0,128.0
285,3520.4399999999973,2378.5,742.0,1088.0,779.0,138.0
286,3508.2399999999975,2467.0,744.0,2656.0,682.0,145.0
287,3507.8399999999974,2351.5,743.0,1528.0,616.0,129.0
288,3444.2399999999975,1823.0,734.0,1432.0,447.0,73.0
289,3453.2399999999975,1742.0,735.0,888.0,293.0,73.0
290,3453.8399999999974,1702.0,733.0,888.0,66.0,56.0
291,3460.8399999999974,1745.0,734.0,888.0,66.0,47.0
292,3464.3399999999974,1765.0,733.0,888.0,65.0,47.0
293,3461.5399999999972,1701.0,734.0,888.0,65.0,47.0
294,3461.3399999999974,1727.0,735.0,888.0,64.0,47.0
295,3475.4399999999973,1761.0,736.0,856.0,64.0,47.0
296,3468.5399999999972,1790.0,736.0,920.0,113.0,55.0
297,3478.5399999999972,1810.0,736.0,1304.0,96.0,39.0
298,3504.5399999999972,2152.0,739.0,1920.0,497.0,95.0
299,3509.3399999999974,2158.0,738.0,1840.0,463.0,112.0
300,3534.4399999999973,2218.0,771.0,1368.0,406.0,119.0
301,3541.639999999997,2383.0,735.0,1512.0,355.0,127.0
302,3541.339999999997,2495.5,737.0,1288.0,358.0,120.0
303,3571.239999999997,2527.5,741.0,1248.0,149.0,115.0
304,3570.239999999997,2456.5,741.0,1328.0,157.0,115.0
305,3583.739999999997,2451.5,741.0,1312.0,423.0,115.0
306,3597.339999999997,2489.5,742.0,1312.0,515.0,114.0
307,3605.839999999997,2563.5,741.0,1376.0,616.0,114.0
308,3616.639999999997,2746.5,742.0,1504.0,637.0,110.0
309,3583.639999999997,2717.5,743.0,1360.0,596.0,108.0
310,3591.639999999997,2621.5,744.0,1272.0,552.0,98.0
311,3553.739999999997,2581.5,741.0,1296.0,513.0,98.0
312,3476.239999999997,1928.0,737.0,1240.0,219.0,90.0
313,3488.239999999997,1817.0,739.0,1216.0,219.0,89.0
314,3476.139999999997,1593.0,739.0,1216.0,219.0,89.0
315,3474.839999999997,1577.0,739.0,1216.0,217.0,89.0
316,3475.639999999997,1565.0,739.0,1216.0,216.0,89.0
317,3498.739999999997,1534.0,741.0,1216.0,216.0,89.0
318,3507.639999999997,1564.0,741.0,1216.0,216.0,89.0
319,3525.739999999997,1568.0,739.0,1216.0,218.0,88.0
320,3519.639999999997,1640.0,741.0,1216.0,216.0,88.0
321,3565.739999999997,1784.0,741.0,1216.0,224.0,72.0
322,3532.439999999997,2163.5,741.0,1520.0,254.0,104.0
323,3518.739999999997,2405.5,749.0,1528.0,272.0,114.0
324,3545.639999999997,2427.5,741.0,1312.0,249.0,98.0
325,3523.839999999997,2467.5,739.0,1360.0,493.0,89.0
