job_name,organization,job_type,duration,gpu_request,worker_num,gpu_demand,cpu_request,submit_time,cpu_per_gpu
229941,19,HP,785238.0,1.0,1,1.0,192.0,6385961.0,192.0
229716,19,HP,2167636.0,1.0,1,1.0,192.0,6385963.0,192.0
229721,19,HP,8042833.0,1.0,1,1.0,192.0,6385966.0,192.0
229948,18,HP,6265042.0,1.0,1,1.0,192.0,9632557.0,192.0
229835,19,HP,7772451.0,1.0,1,1.0,192.0,8125148.0,192.0
229616,13,HP,8324205.0,1.0,1,1.0,192.0,7573394.0,192.0
229860,19,HP,998075.0,1.0,1,1.0,192.0,7123524.0,192.0
229936,19,HP,3216642.0,1.0,1,1.0,192.0,7140318.0,192.0
229603,13,HP,16973.0,1.0,1,1.0,192.0,7124400.0,192.0
229595,13,HP,16972.0,1.0,1,1.0,192.0,7124400.0,192.0
229736,19,HP,721197.0,1.0,1,1.0,192.0,15176402.0,192.0
229825,19,HP,322147.0,1.0,1,1.0,192.0,15143452.0,192.0
229920,19,HP,766370.0,1.0,1,1.0,192.0,15131229.0,192.0
229832,19,HP,766616.0,1.0,1,1.0,192.0,15130983.0,192.0
229811,19,HP,767911.0,1.0,1,1.0,192.0,15129688.0,192.0
229839,19,HP,2989792.0,1.0,1,1.0,192.0,7140318.0,192.0
229870,19,HP,2997367.0,1.0,1,1.0,192.0,7140318.0,192.0
229896,19,HP,8757281.0,1.0,1,1.0,192.0,7140318.0,192.0
229925,19,HP,8657345.0,1.0,1,1.0,192.0,7240254.0,192.0
229720,19,HP,768716.0,1.0,1,1.0,192.0,15128883.0,192.0
229843,19,HP,344405.0,1.0,1,1.0,192.0,15121194.0,192.0
229766,19,HP,777508.0,1.0,1,1.0,192.0,15120091.0,192.0
321808,19,HP,86332.0,1.0,1,1.0,192.0,15120067.0,192.0
229930,19,HP,777543.0,1.0,1,1.0,192.0,15120056.0,192.0
229756,19,HP,30882.0,1.0,1,1.0,192.0,7140317.0,192.0
229761,19,HP,345567.0,1.0,1,1.0,192.0,15120032.0,192.0
230107,18,HP,820932.0,1.0,1,1.0,192.0,15076667.0,192.0
229913,19,HP,39442.0,1.0,1,1.0,192.0,14970645.0,192.0
229813,19,HP,8685008.0,1.0,1,1.0,192.0,7212591.0,192.0
229895,19,HP,8685008.0,1.0,1,1.0,192.0,7212591.0,192.0
229717,19,HP,7333849.0,1.0,1,1.0,192.0,8563750.0,192.0
229719,19,HP,7424758.0,1.0,1,1.0,192.0,8472841.0,192.0
229847,19,HP,909008.0,1.0,1,1.0,192.0,7212591.0,192.0
229680,13,HP,2880755.0,1.0,1,1.0,192.0,3426444.0,192.0
229861,19,HP,909008.0,1.0,1,1.0,192.0,7212591.0,192.0
229730,19,HP,8685008.0,1.0,1,1.0,192.0,7212591.0,192.0
229872,19,HP,909008.0,1.0,1,1.0,192.0,7212591.0,192.0
229745,19,HP,8685008.0,1.0,1,1.0,192.0,7212591.0,192.0
230088,19,HP,1012455.0,1.0,1,1.0,192.0,14885144.0,192.0
229830,19,HP,1013348.0,1.0,1,1.0,192.0,14884251.0,192.0
229586,18,HP,567916.0,1.0,1,1.0,192.0,14811283.0,192.0
229584,18,HP,567916.0,1.0,1,1.0,192.0,14811283.0,192.0
229585,18,HP,567916.0,1.0,1,1.0,192.0,14811283.0,192.0
230093,19,HP,1319809.0,1.0,1,1.0,192.0,14577790.0,192.0
230081,19,HP,1406219.0,1.0,1,1.0,192.0,14491380.0,192.0
229581,18,HP,284376.0,1.0,1,1.0,192.0,14490023.0,192.0
229776,19,HP,3459842.0,1.0,1,1.0,192.0,7140317.0,192.0
229851,19,HP,393073.0,1.0,1,1.0,192.0,7728526.0,192.0
229917,19,HP,4039850.0,1.0,1,1.0,192.0,6112034.0,192.0
229749,19,HP,909008.0,1.0,1,1.0,192.0,7212591.0,192.0
229910,19,HP,8685008.0,1.0,1,1.0,192.0,7212591.0,192.0
229710,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
229611,13,HP,132667.0,1.0,1,1.0,192.0,6174532.0,192.0
229697,13,HP,132667.0,1.0,1,1.0,192.0,6174532.0,192.0
229644,13,HP,132667.0,1.0,1,1.0,192.0,6174532.0,192.0
229634,13,HP,132667.0,1.0,1,1.0,192.0,6174532.0,192.0
229583,18,HP,284376.0,1.0,1,1.0,192.0,14490023.0,192.0
229779,19,HP,981282.0,1.0,1,1.0,192.0,7140317.0,192.0
229754,19,HP,3214895.0,1.0,1,1.0,192.0,7140317.0,192.0
230096,19,HP,1411616.0,1.0,1,1.0,192.0,14485983.0,192.0
229580,18,HP,17630.0,1.0,1,1.0,192.0,14466237.0,192.0
229733,19,HP,656214.0,1.0,1,1.0,192.0,14463785.0,192.0
229852,19,HP,1438750.0,1.0,1,1.0,192.0,14458849.0,192.0
229758,19,HP,663673.0,1.0,1,1.0,192.0,14456326.0,192.0
229722,19,HP,857271.0,1.0,1,1.0,192.0,14262728.0,192.0
230091,19,HP,1814332.0,1.0,1,1.0,192.0,14083267.0,192.0
229582,18,HP,826654.0,1.0,1,1.0,192.0,13947745.0,192.0
229937,19,HP,2309379.0,1.0,1,1.0,192.0,13588220.0,192.0
230078,19,HP,2050184.0,1.0,1,1.0,192.0,13588215.0,192.0
229883,19,HP,926984.0,1.0,1,1.0,192.0,13501815.0,192.0
230077,19,HP,1827.0,1.0,1,1.0,192.0,12673991.0,192.0
230080,19,HP,3230345.0,1.0,1,1.0,192.0,12667254.0,192.0
230075,19,HP,988951.0,1.0,1,1.0,192.0,12667254.0,192.0
230083,19,HP,3230345.0,1.0,1,1.0,192.0,12667254.0,192.0
229713,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
229787,19,HP,30882.0,1.0,1,1.0,192.0,7140317.0,192.0
229728,19,HP,3012603.0,1.0,1,1.0,192.0,7140317.0,192.0
230100,19,HP,3230345.0,1.0,1,1.0,192.0,12667254.0,192.0
230095,19,HP,2199994.0,1.0,1,1.0,192.0,12228805.0,192.0
230097,19,HP,3495994.0,1.0,1,1.0,192.0,12228805.0,192.0
229796,19,HP,2237586.0,1.0,1,1.0,192.0,12191213.0,192.0
230079,19,HP,3738518.0,1.0,1,1.0,192.0,12159081.0,192.0
230090,19,HP,3738518.0,1.0,1,1.0,192.0,12159081.0,192.0
230101,19,HP,3565718.0,1.0,1,1.0,192.0,12159081.0,192.0
229703,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
230085,19,HP,3738518.0,1.0,1,1.0,192.0,12159081.0,192.0
230103,19,HP,3764859.0,1.0,1,1.0,192.0,12132740.0,192.0
230082,19,HP,3764859.0,1.0,1,1.0,192.0,12132740.0,192.0
229692,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
230092,19,HP,2468859.0,1.0,1,1.0,192.0,12132740.0,192.0
230094,19,HP,3764859.0,1.0,1,1.0,192.0,12132740.0,192.0
229807,19,HP,5765371.0,1.0,1,1.0,192.0,10132228.0,192.0
229891,19,HP,3796746.0,1.0,1,1.0,192.0,12100853.0,192.0
230105,19,HP,3818563.0,1.0,1,1.0,192.0,12079036.0,192.0
230084,19,HP,3818563.0,1.0,1,1.0,192.0,12079036.0,192.0
229898,19,HP,3922056.0,1.0,1,1.0,192.0,11975543.0,192.0
229886,19,HP,3968289.0,1.0,1,1.0,192.0,11929310.0,192.0
229769,19,HP,4382456.0,1.0,1,1.0,192.0,11515143.0,192.0
230039,18,HP,158810.0,1.0,1,1.0,192.0,11504301.0,192.0
229880,19,HP,4402738.0,1.0,1,1.0,192.0,11494861.0,192.0
230037,18,HP,348100.0,1.0,1,1.0,192.0,11315011.0,192.0
230038,18,HP,266877.0,1.0,1,1.0,192.0,11315011.0,192.0
229777,19,HP,5040082.0,1.0,1,1.0,192.0,10598317.0,192.0
229683,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
229615,13,HP,910267.0,1.0,1,1.0,192.0,6174532.0,192.0
229879,19,HP,1218360.0,1.0,1,1.0,192.0,10574127.0,192.0
229798,19,HP,215637.0,1.0,1,1.0,192.0,10382870.0,192.0
229794,19,HP,1889535.0,1.0,1,1.0,192.0,10379264.0,192.0
229890,19,HP,219010.0,1.0,1,1.0,192.0,10379233.0,192.0
229770,19,HP,1502550.0,1.0,1,1.0,192.0,10290030.0,192.0
229833,19,HP,4831833.0,1.0,1,1.0,192.0,10288166.0,192.0
229914,19,HP,5611236.0,1.0,1,1.0,192.0,10286363.0,192.0
229938,19,HP,3370091.0,1.0,1,1.0,192.0,10285868.0,192.0
229922,19,HP,4834997.0,1.0,1,1.0,192.0,10285002.0,192.0
229795,19,HP,295522.0,1.0,1,1.0,192.0,10284371.0,192.0
