hour,jobs_active,gpus_active_requested,capacity_gpus,demand_capacity_ratio
1181,5742.0,8019.650000000001,10412,0.7702314636957357
1182,5755.0,8034.85,10412,0.7716913177103343
1183,5745.0,7995.85,10412,0.7679456396465617
1184,5749.0,8055.450000000001,10412,0.7736698040722244
1185,5774.0,8303.25,10412,0.7974692662312716
1186,5818.0,9221.95,10412,0.8857039953899347
1187,5991.0,9686.35,10412,0.9303063772570112
1188,5973.0,9417.15,10412,0.9044515943142527
1189,5933.0,9724.15,10412,0.9339368036880522
1190,5959.0,9663.65,10412,0.9281262005378409
1191,5991.0,10545.55,10412,1.012826546292739
1192,6116.0,10326.55,10412,0.991793123319247
1193,6121.0,10411.55,10412,0.9999567806377256
1194,6107.0,10082.65,10412,0.968368228966577
1195,6112.0,10366.35,10412,0.9956156358048406
1196,6093.0,10486.65,10412,1.0071696119861697
1197,6095.0,9946.85,10412,0.9553255858624664
1198,6092.0,9926.35,10412,0.953356703803304
1199,6083.0,9815.85,10412,0.9427439492892816
1200,5941.0,8355.85,10412,0.8025211294660008
1201,5919.0,8221.35,10412,0.7896033422973493
1202,5891.0,8277.35,10412,0.7949817518248176
1203,5885.0,8309.85,10412,0.7981031502112947
1204,5904.0,8313.85,10412,0.7984873223203995
1205,5903.0,8274.35,10412,0.7946936227429889
1206,5929.0,9036.85,10412,0.8679264310411064
1207,5932.0,9019.35,10412,0.8662456780637726
1208,5933.0,9525.35,10412,0.9148434498655398
1209,5943.0,8969.85,10412,0.8614915482135997
1210,5945.0,9397.35,10412,0.9025499423741836
1211,5956.0,9200.85,10412,0.8836774875144064
1212,5961.0,9691.85,10412,0.9308346139070304
1213,5984.0,9824.35,10412,0.9435603150211295
1214,5955.0,9321.35,10412,0.8952506723011909
1215,5955.0,9195.35,10412,0.8831492508643872
1216,6018.0,9247.35,10412,0.8881434882827507
1217,6044.0,9473.85,10412,0.9098972339608145
1218,6031.0,9293.35,10412,0.8925614675374568
1219,6030.0,9341.85,10412,0.8972195543603535
1220,6042.0,9598.85,10412,0.921902612370342
1221,6045.0,9753.85,10412,0.936789281598156
1222,6071.0,10002.35,10412,0.9606559738762966
1223,6073.0,9786.35,10412,0.9399106799846332
1224,5988.0,8652.35,10412,0.8309978870533999
1225,5982.0,8766.85,10412,0.8419948136765271
1226,5898.0,8559.35,10412,0.8220658855167116
1227,5910.0,8689.35,10412,0.8345514790626201
1228,5922.0,8786.35,10412,0.8438676527084134
1229,5910.0,8552.35,10412,0.821393584325778
1230,5932.0,8609.35,10412,0.8268680368805225
1231,5928.0,8619.85,10412,0.8278764886669229
1232,5936.0,8676.85,10412,0.8333509412216673
1233,5950.0,8822.35,10412,0.8473252016903573
1234,5959.0,8971.85,10412,0.8616836342681522
1235,5972.0,9864.85,10412,0.9474500576258164
1236,5979.0,10095.85,10412,0.9696359969266232
1237,5971.0,9677.35,10412,0.9294419900115252
1238,5952.0,9727.35,10412,0.9342441413753362
1239,5941.0,9587.35,10412,0.9207981175566654
1240,5989.0,9513.85,10412,0.9137389550518633
1241,6010.0,9530.35,10412,0.9153236650019209
1242,5997.0,9420.35,10412,0.9047589320015367
1243,5996.0,9417.35,10412,0.904470802919708
1244,6037.0,9716.35,10412,0.9331876680752977
1245,6022.0,9588.35,10412,0.9208941605839417
1246,5984.0,9447.85,10412,0.9074001152516328
1247,5982.0,9432.35,10412,0.9059114483288514
1248,5856.0,8099.85,10412,0.7779341144832885
1249,5872.0,8083.150000000001,10412,0.7763301959277757
1250,5812.0,8008.05,10412,0.7691173645793316
1251,5811.0,7935.55,10412,0.7621542451018056
1252,5818.0,7982.55,10412,0.7666682673837879
1253,5815.0,8134.55,10412,0.7812668075297734
1254,5842.0,8151.05,10412,0.782851517479831
1255,5839.0,8006.05,10412,0.7689252785247791
1256,5842.0,8044.05,10412,0.7725749135612755
1257,5853.0,8171.55,10412,0.7848203995389935
1258,5924.0,8388.05,10412,0.805613714944295
1259,6014.0,9300.65,10412,0.8932625816365731
1260,5993.0,8936.35,10412,0.8582741067998464
1261,5956.0,8903.95,10412,0.8551623127160969
1262,5970.0,9265.95,10412,0.8899298885900885
1263,6113.0,9996.45,10412,0.960089320015367
1264,6271.0,10211.95,10412,0.9807865923933923
1265,6331.0,10284.050000000001,10412,0.9877112946600078
1266,6259.0,10020.050000000001,10412,0.9623559354590858
1267,6273.0,10143.050000000001,10412,0.9741692278140608
1268,6265.0,10176.250000000002,10412,0.9773578563196313
1269,6258.0,10213.750000000002,10412,0.9809594698424896
1270,6165.0,10012.950000000003,10412,0.9616740299654247
1271,6233.0,9989.050000000003,10412,0.9593786016135232
1272,6035.0,8649.950000000003,10412,0.8307673837879372
1273,6063.0,8868.450000000003,10412,0.8517527852477913
1274,6020.0,8468.150000000001,10412,0.8133067614291204
1275,5992.0,8636.350000000002,10412,0.8294611986169806
1276,5988.0,8607.650000000001,10412,0.826704763734153
1277,5994.0,8547.650000000001,10412,0.8209421820975799
1278,6019.0,8575.550000000001,10412,0.8236217825585863
1279,6013.0,8559.250000000002,10412,0.822056281213984
1280,6001.0,8530.650000000001,10412,0.8193094506338842
1281,6010.0,8732.850000000002,10412,0.8387293507491358
1282,6050.0,9492.850000000002,10412,0.9117220514790628
1283,6157.0,9957.850000000002,10412,0.956382059162505
1284,6075.0,9628.750000000002,10412,0.924774298885901
1285,6082.0,10051.750000000002,10412,0.9654004994237421
1286,6195.0,10449.550000000001,10412,1.0036064156742222
1287,6203.0,10116.95,10412,0.9716625048021514
1288,6275.0,10196.150000000001,10412,0.9792691125624281
1289,6235.0,10195.350000000002,10412,0.9791922781406072
1290,6216.0,9849.850000000002,10412,0.9460094122166732
1291,6268.0,10049.950000000003,10412,0.9652276219746448
1292,6285.0,10786.450000000003,10412,1.0359633115635807
1293,6232.0,10436.150000000003,10412,1.0023194391087211
1294,6259.0,10705.550000000003,10412,1.0281934306569347
1295,6212.0,10414.750000000004,10412,1.00026411832501
1296,5965.0,8547.050000000003,10412,0.8208845562812143
1297,6005.0,8398.650000000003,10412,0.8066317710334233
1298,5947.0,8241.550000000003,10412,0.7915434114483292
1299,5931.0,8238.450000000003,10412,0.7912456780637728
1300,5938.0,8117.950000000003,10412,0.7796724932769883
1301,5933.0,8130.050000000003,10412,0.7808346139070307
1302,5963.0,8146.750000000003,10412,0.7824385324625435
1303,5971.0,8152.950000000003,10412,0.7830339992316561
1304,5970.0,8311.150000000003,10412,0.798228006146754
1305,5985.0,8350.350000000004,10412,0.801992892815982
1306,5997.0,8678.150000000003,10412,0.8334757971571267
1307,6048.0,9066.850000000004,10412,0.8708077218593934
1308,6038.0,8890.050000000005,10412,0.8538273146369578
1309,6025.0,8924.250000000005,10412,0.8571119861698046
1310,6062.0,9249.750000000005,10412,0.8883739915482142
1311,6145.0,9439.850000000006,10412,0.9066317710334235
1312,6186.0,9466.350000000006,10412,0.9091769112562433
1313,6204.0,9499.150000000005,10412,0.9123271225509033
1314,6239.0,9651.450000000004,10412,0.9269544756050715
1315,6307.0,10248.650000000005,10412,0.98431137149443
1316,6254.0,10221.150000000005,10412,0.9816701882443339
1317,6261.0,10518.550000000007,10412,1.0102333845562819
1318,6263.0,10407.750000000007,10412,0.9995918171340767
1319,6212.0,11351.550000000008,10412,1.090237226277373
1320,6054.0,9242.150000000009,10412,0.8876440645409152
1321,6070.0,9629.550000000008,10412,0.9248511333077226
1322,6019.0,8766.650000000009,10412,0.8419756050710727
1323,6020.0,8593.85000000001,10412,0.825379369957742
1324,6005.0,8535.45000000001,10412,0.8197704571648108
1325,6024.0,8580.65000000001,10412,0.824111601997696
1326,6034.0,8568.250000000011,10412,0.8229206684594709
1327,6046.0,8529.250000000011,10412,0.8191749903956983
1328,6009.0,8549.950000000012,10412,0.8211630810603161
1329,6082.0,8668.550000000012,10412,0.8325537840952758
1330,6097.0,8911.150000000012,10412,0.8558538225124868
1331,6148.0,9770.450000000013,10412,0.9383835958509426
1332,6108.0,9698.950000000013,10412,0.9315165194006928
1333,6189.0,9803.250000000013,10412,0.9415338071456024
1334,6251.0,10227.050000000014,10412,0.9822368421052645
1335,6212.0,9865.250000000015,10412,0.9474884748367283
1336,6270.0,10017.450000000015,10412,0.962106223588169
1337,6320.0,10605.850000000015,10412,1.0186179408374967
1338,6285.0,10427.350000000015,10412,1.0014742604686915
1339,6305.0,10222.150000000016,10412,0.9817662312716112
1340,6311.0,10399.950000000017,10412,0.9988426815213232
1341,6280.0,10554.550000000017,10412,1.0136909335382267
1342,6225.0,10788.350000000017,10412,1.036145793315407
1343,6239.0,10262.350000000017,10412,0.9856271609681153
1344,6064.0,8492.350000000017,10412,0.8156310026892064
1345,6104.0,8557.250000000016,10412,0.821864195159433
1346,6050.0,8479.450000000017,10412,0.8143920476373432
1347,6028.0,8458.950000000017,10412,0.8124231655781806
1348,5996.0,8442.150000000018,10412,0.8108096427199403
1349,6039.0,8413.050000000017,10412,0.8080147906262022
1350,6016.0,8385.550000000017,10412,0.8053736073761062
1351,6028.0,8364.150000000018,10412,0.8033182865923951
1352,6033.0,8387.850000000019,10412,0.8055945063388416
1353,6034.0,8527.450000000019,10412,0.8190021129466019
1354,6065.0,9820.85000000002,10412,0.9432241644256647
1355,6059.0,10324.45000000002,10412,0.9915914329619689
1356,6100.0,9624.45000000002,10412,0.9243613138686151
1357,6150.0,10414.25000000002,10412,1.0002160968113734
1358,6134.0,10749.050000000021,10412,1.032371302343452
1359,6114.0,11385.750000000022,10412,1.093521897810221
1360,6138.0,11743.850000000022,10412,1.1279149058778355
1361,6168.0,12531.050000000023,10412,1.2035199769496756
1362,6158.0,10293.550000000023,10412,0.988623703419134
1363,6156.0,10341.950000000023,10412,0.993272185939303
1364,6171.0,10479.050000000023,10412,1.0064396849788728
1365,6168.0,10542.350000000022,10412,1.0125192086054573
1366,6155.0,9972.750000000022,10412,0.9578131002689225
1367,6167.0,10156.550000000021,10412,0.9754658086822917
1368,6045.0,8256.45000000002,10412,0.7929744525547465
1369,6036.0,8272.45000000002,10412,0.794511140991166
1370,6000.0,8167.550000000021,10412,0.7844362274298906
1371,5990.0,8378.050000000021,10412,0.8046532846715349
1372,5982.0,8370.750000000022,10412,0.8039521705724185
1373,5996.0,8383.850000000022,10412,0.8052103342297371
1374,5995.0,8354.450000000023,10412,0.8023866692278162
