submit_hour,jobs,gpu_seconds,gpu_demand
3452,137,69854233.0,590.0
3453,185,5731809.2,396.3
3454,167,2963290.0,586.0
3455,182,3092869.2,675.3
3456,160,39594068.0,671.0
3457,168,13290429.5,222.5
3458,141,16357752.0,281.0
3459,141,15486568.0,183.0
3460,152,21499203.0,155.0
3461,129,48851301.8,687.8
3462,71,1360029.0,71.0
3463,81,15919730.8,82.3
3464,146,12401133.0,354.0
3465,134,40893678.4,482.8
3466,174,58039940.0,497.0
3467,176,46312155.2,1179.3
3468,68,7740779.0,543.0
3469,95,41658516.0,909.0
3470,264,190069938.9,2465.0
3471,180,92301175.3,876.2
3472,136,65932160.3,780.5
3473,148,39579250.3,463.1
3474,78,14811288.4,441.5
3475,118,66792231.5,700.5
3476,178,96186160.1,1574.8
3477,83,22369069.0,391.0
3478,76,14589395.7,391.3
3479,56,8094218.3,147.0
3480,76,17602531.0,197.0
3481,41,9505439.0,157.0
3482,61,7998518.4,224.8
3483,43,6567355.0,64.5
3484,34,8988080.1,49.5
3485,61,9813687.8,311.8
3486,55,3660373.0,66.3
3487,36,6766876.0,46.0
3488,26,3190222.0,41.0
3489,68,7783031.0,107.0
3490,172,12590651.4,702.4
3491,161,36431279.5,979.9
3492,59,29792722.0,200.0
3493,76,7984708.0,346.0
3494,155,117384610.6,541.5
3495,112,49525282.5,673.5
3496,134,32459600.1,1343.3
3497,227,19789739.7,2269.7
3498,96,25355298.1,973.4
3499,74,15978607.5,739.5
3500,74,11819560.0,442.3
3501,85,38507327.3,271.2
3502,99,9966363.6,708.6
3503,69,4848754.4,274.0
3504,70,55758296.4,306.3
3505,31,19433434.0,111.0
3506,36,21401918.5,258.5
3507,17,4395758.0,55.0
3508,38,237415.0,40.199999999999996
3509,67,4093519.8,71.6
3510,16,10146928.0,19.0
3511,16,3490207.0,82.5
3512,14,236156.0,17.0
3513,16,620709.0,58.0
3514,101,251374327.7,1490.7
3515,138,53334376.1,483.1
3516,70,36106909.2,316.0
3517,63,7297044.0,613.0
3518,152,30290496.3,631.1
3519,118,52207804.0,1649.8999999999999
3520,102,29155368.0,2502.8
3521,162,71061542.9,1842.3999999999999
3522,52,4595733.0,712.3
3523,93,31315576.2,583.3
3524,102,41314321.0,1061.4
3525,65,7084136.5,503.8
3526,65,13725091.0,597.0
3527,53,1287696.1,213.9
3528,50,35211028.4,113.1
3529,28,12850169.0,444.0
3530,19,8470030.4,39.3
3531,24,9028919.0,85.6
3532,22,704648.6,81.8
3533,21,559803.0,54.0
3534,21,8138255.0,291.0
3535,27,7598252.0,284.0
3536,10,101144.0,24.0
3537,36,4413043.0,90.0
3538,91,49828543.0,1658.0
3539,141,116581148.9,1913.9
3540,49,4832988.0,253.0
3541,93,57761003.0,594.0
3542,149,125518942.4,870.6
3543,118,34875535.8,571.4
3544,130,14871364.1,546.3
3545,130,14759097.5,1579.6
3546,72,32639303.0,585.0
3547,41,10571975.0,1303.0
3548,51,4808461.2,755.8
3549,53,5651833.9,223.2
3550,47,5292436.6,762.8
3551,60,5019896.0,1726.5
3552,49,19638576.7,968.8
3553,40,5160606.3,743.1
3554,46,48932540.5,1378.5
3555,20,1555904.6,66.8
3556,35,1374006.5,34.5
3557,18,249523.1,16.2
3558,17,403212.0,19.0
3559,27,3051577.0,41.0
3560,15,174712.0,29.0
3561,18,870863.0,49.0
3562,30,1139511.0,117.0
3563,58,5329811.5,358.5
3564,31,8825897.0,313.0
3565,33,7201855.5,114.5
3566,47,67927884.0,482.0
3567,47,14197446.0,304.0
3568,80,420508259.0,1394.0
3569,44,15237769.0,176.0
